GNU Free Documentation License v1.2 only,GFDL-1.2-only,FSF Libre,NON-OSI Approved,,License Text
GNU Free Documentation License v1.2 or later,GFDL-1.2-or-later,FSF Libre,NON-OSI Approved,,License Text
GNU Free Documentation License v1.3 only,GFDL-1.3-only,FSF Libre,NON-OSI Approved,,License Text
GNU Free Documentation License v1.3 or later,GFDL-1.3-or-later,FSF Libre,NON-OSI Approved,,License Text
Giftware License,Giftware,NON-FSF Libre,NON-OSI Approved,,License Text
GL2PS License,GL2PS,NON-FSF Libre,NON-OSI Approved,,License Text
3dfx Glide License,Glide,NON-FSF Libre,NON-OSI Approved,,License Text
Glulxe License,Glulxe,NON-FSF Libre,NON-OSI Approved,,License Text
gnuplot License,gnuplot,FSF Libre,NON-OSI Approved,,License Text
GNU General Public License v1.0 only,GPL-1.0-only,NON-FSF Libre,NON-OSI Approved,,License Text
GNU General Public License v1.0 or later,GPL-1.0-or-later,NON-FSF Libre,NON-OSI Approved,,License Text
GNU General Public License v2.0 only,GPL-2.0-only,FSF Libre,OSI Approved,,License Text
GNU General Public License v2.0 or later,GPL-2.0-or-later,FSF Libre,OSI Approved,,License Text
GNU General Public License v3.0 only,GPL-3.0-only,FSF Libre,OSI Approved,,License Text
GNU General Public License v3.0 or later,GPL-3.0-or-later,FSF Libre,OSI Approved,,License Text
gSOAP Public License v1.3b,gSOAP-1.3b,NON-FSF Libre,NON-OSI Approved,,License Text
Haskell Language Report License,HaskellReport,NON-FSF Libre,NON-OSI Approved,,License Text
Historical Permission Notice and Disclaimer,HPND,FSF Libre,OSI Approved,,License Text
IBM PowerPC Initialization and Boot Software,IBM-pibs,NON-FSF Libre,NON-OSI Approved,,License Text
ICU License,ICU,NON-FSF Libre,NON-OSI Approved,,License Text
Independent JPEG Group License,IJG,FSF Libre,NON-OSI Approved,,License Text
ImageMagick License,ImageMagick,NON-FSF Libre,NON-OSI Approved,,License Text
iMatix Standard Function Library Agreement,iMatix,FSF Libre,NON-OSI Approved,,License Text
Imlib2 License,Imlib2,FSF Libre,NON-OSI Approved,,License Text
Info-ZIP License,Info-ZIP,NON-FSF Libre,NON-OSI Approved,,License Text
Intel ACPI Software License Agreement,Intel-ACPI,NON-FSF Libre,NON-OSI Approved,,License Text
Intel Open Source License,Intel,FSF Libre,OSI Approved,,License Text
Interbase Public License v1.0,Interbase-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
IPA Font License,IPA,FSF Libre,OSI Approved,,License Text
IBM Public License v1.0,IPL-1.0,FSF Libre,OSI Approved,,License Text
ISC License,ISC,FSF Libre,OSI Approved,,License Text
JasPer License,JasPer-2.0,NON-FSF Libre,NON-OSI Approved,,License Text
JSON License,JSON,NON-FSF Libre,NON-OSI Approved,,License Text
Licence Art Libre 1.2,LAL-1.2,NON-FSF Libre,NON-OSI Approved,,License Text
Licence Art Libre 1.3,LAL-1.3,NON-FSF Libre,NON-OSI Approved,,License Text
Latex2e License,Latex2e,NON-FSF Libre,NON-OSI Approved,,License Text
Leptonica License,Leptonica,NON-FSF Libre,NON-OSI Approved,,License Text
GNU Library General Public License v2 only,LGPL-2.0-only,NON-FSF Libre,OSI Approved,,License Text
GNU Library General Public License v2 or later,LGPL-2.0-or-later,NON-FSF Libre,OSI Approved,,License Text
GNU Lesser General Public License v2.1 only,LGPL-2.1-only,FSF Libre,OSI Approved,,License Text
GNU Lesser General Public License v2.1 or later,LGPL-2.1-or-later,FSF Libre,OSI Approved,,License Text
GNU Lesser General Public License v3.0 only,LGPL-3.0-only,FSF Libre,OSI Approved,,License Text
GNU Lesser General Public License v3.0 or later,LGPL-3.0-or-later,FSF Libre,OSI Approved,,License Text
Lesser General Public License For Linguistic Resources,LGPLLR,NON-FSF Libre,NON-OSI Approved,,License Text
libpng License,Libpng,NON-FSF Libre,NON-OSI Approved,,License Text
libtiff License,libtiff,NON-FSF Libre,NON-OSI Approved,,License Text
Licence Libre du Québec – Permissive version 1.1,LiLiQ-P-1.1,NON-FSF Libre,OSI Approved,,License Text
Licence Libre du Québec – Réciprocité version 1.1,LiLiQ-R-1.1,NON-FSF Libre,OSI Approved,,License Text
Licence Libre du Québec – Réciprocité forte version 1.1,LiLiQ-Rplus-1.1,NON-FSF Libre,OSI Approved,,License Text
Linux Kernel Variant of OpenIB.org license,Linux-OpenIB,NON-FSF Libre,NON-OSI Approved,,License Text
Lucent Public License Version 1.0,LPL-1.0,NON-FSF Libre,OSI Approved,,License Text
Lucent Public License v1.02,LPL-1.02,FSF Libre,OSI Approved,,License Text
LaTeX Project Public License v1.0,LPPL-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
LaTeX Project Public License v1.1,LPPL-1.1,NON-FSF Libre,NON-OSI Approved,,License Text
LaTeX Project Public License v1.2,LPPL-1.2,FSF Libre,NON-OSI Approved,,License Text
LaTeX Project Public License v1.3a,LPPL-1.3a,FSF Libre,NON-OSI Approved,,License Text
LaTeX Project Public License v1.3c,LPPL-1.3c,NON-FSF Libre,OSI Approved,,License Text
MakeIndex License,MakeIndex,NON-FSF Libre,NON-OSI Approved,,License Text
MirOS License,MirOS,NON-FSF Libre,OSI Approved,,License Text
MIT No Attribution,MIT-0,NON-FSF Libre,OSI Approved,,License Text
Enlightenment License (e16),MIT-advertising,NON-FSF Libre,NON-OSI Approved,,License Text
CMU License,MIT-CMU,NON-FSF Libre,NON-OSI Approved,,License Text
enna License,MIT-enna,NON-FSF Libre,NON-OSI Approved,,License Text
feh License,MIT-feh,NON-FSF Libre,NON-OSI Approved,,License Text
MIT License,MIT,FSF Libre,OSI Approved,,License Text
MIT +no-false-attribs license,MITNFA,NON-FSF Libre,NON-OSI Approved,,License Text
Motosoto License,Motosoto,NON-FSF Libre,OSI Approved,,License Text
mpich2 License,mpich2,NON-FSF Libre,NON-OSI Approved,,License Text
